age,type,value
-14,사망자수,76
-14,부상자수,"16,974"
-14,중상자수,"2,742"
-14,경상자수,"12,088"
-14,부상자신고자수,"2,144"
15-20,사망자수,168
15-20,부상자수,"21,942"
15-20,중상자수,"4,879"
15-20,경상자수,"14,372"
15-20,부상자신고자수,"2,691"
21-30,사망자수,368
21-30,부상자수,"53,842"
21-30,중상자수,"10,446"
21-30,경상자수,"39,319"
21-30,부상자신고자수,"4,077"
31-40,사망자수,329
31-40,부상자수,"57,838"
31-40,중상자수,"11,294"
31-40,경상자수,"42,890"
31-40,부상자신고자수,"3,654"
41-50,사망자수,498
41-50,부상자수,"61,683"
41-50,중상자수,"13,804"
41-50,경상자수,"44,205"
41-50,부상자신고자수,"3,674"
51-60,사망자수,817
51-60,부상자수,"63,409"
51-60,중상자수,"16,941"
51-60,경상자수,"42,999"
51-60,부상자신고자수,"3,469"
61-64,사망자수,303
61-64,부상자수,"17,611"
61-64,중상자수,"5,418"
61-64,경상자수,"11,200"
61-64,부상자신고자수,993
65-70,사망자수,408
65-70,부상자수,"16,721"
65-70,중상자수,"6,183"
65-70,경상자수,"9,544"
65-70,부상자신고자수,994
70-,사망자수,"1,324"
70-,부상자수,"21,692"
70-,중상자수,"10,755"
70-,경상자수,"9,659"
70-,부상자신고자수,"1,278"